Hit;Tool;ShapesLanguage;Size;ElapsedTime_ms
6;SCOOP;SHACL;10000;847
7;SCOOP;SHACL;10000;872
8;SCOOP;SHACL;10000;869
9;SCOOP;SHACL;10000;880
10;SCOOP;SHACL;10000;829
11;SCOOP;SHACL;10000;853
12;SCOOP;SHACL;10000;887
13;SCOOP;SHACL;10000;833
14;SCOOP;SHACL;10000;909
15;SCOOP;SHACL;10000;852
16;SCOOP;SHACL;10000;864
17;SCOOP;SHACL;10000;826
18;SCOOP;SHACL;10000;861
19;SCOOP;SHACL;10000;835
20;SCOOP;SHACL;10000;831
21;SCOOP;SHACL;10000;866
22;SCOOP;SHACL;10000;1850
23;SCOOP;SHACL;10000;847
24;SCOOP;SHACL;10000;836
25;SCOOP;SHACL;10000;866
26;SCOOP;SHACL;10000;843
27;SCOOP;SHACL;10000;813
28;SCOOP;SHACL;10000;825
29;SCOOP;SHACL;10000;847
30;SCOOP;SHACL;10000;788
1;SCOOP;SHACL;100000;896
2;SCOOP;SHACL;100000;817
3;SCOOP;SHACL;100000;878
4;SCOOP;SHACL;100000;834
5;SCOOP;SHACL;100000;904
6;SCOOP;SHACL;100000;881
7;SCOOP;SHACL;100000;851
8;SCOOP;SHACL;100000;807
9;SCOOP;SHACL;100000;846
10;SCOOP;SHACL;100000;837
11;SCOOP;SHACL;100000;786
12;SCOOP;SHACL;100000;850
13;SCOOP;SHACL;100000;837
14;SCOOP;SHACL;100000;850
15;SCOOP;SHACL;100000;840
16;SCOOP;SHACL;100000;883
17;SCOOP;SHACL;100000;861
18;SCOOP;SHACL;100000;790
19;SCOOP;SHACL;100000;813
20;SCOOP;SHACL;100000;907
21;SCOOP;SHACL;100000;890
22;SCOOP;SHACL;100000;887
23;SCOOP;SHACL;100000;809
24;SCOOP;SHACL;100000;856
25;SCOOP;SHACL;100000;808
26;SCOOP;SHACL;100000;793
27;SCOOP;SHACL;100000;837
28;SCOOP;SHACL;100000;774
29;SCOOP;SHACL;100000;852
30;SCOOP;SHACL;100000;848
1;SCOOP;SHACL;1000000;833
2;SCOOP;SHACL;1000000;883
3;SCOOP;SHACL;1000000;844
4;SCOOP;SHACL;1000000;854
5;SCOOP;SHACL;1000000;828
6;SCOOP;SHACL;1000000;830
7;SCOOP;SHACL;1000000;822
8;SCOOP;SHACL;1000000;813
9;SCOOP;SHACL;1000000;818
10;SCOOP;SHACL;1000000;833
11;SCOOP;SHACL;1000000;845
12;SCOOP;SHACL;1000000;810
13;SCOOP;SHACL;1000000;798
14;SCOOP;SHACL;1000000;890
15;SCOOP;SHACL;1000000;822
16;SCOOP;SHACL;1000000;886
17;SCOOP;SHACL;1000000;888
18;SCOOP;SHACL;1000000;814
19;SCOOP;SHACL;1000000;896
20;SCOOP;SHACL;1000000;844
21;SCOOP;SHACL;1000000;790
22;SCOOP;SHACL;1000000;850
23;SCOOP;SHACL;1000000;874
24;SCOOP;SHACL;1000000;872
25;SCOOP;SHACL;1000000;855
26;SCOOP;SHACL;1000000;853
27;SCOOP;SHACL;1000000;841
28;SCOOP;SHACL;1000000;835
29;SCOOP;SHACL;1000000;837
30;SCOOP;SHACL;1000000;890
